feature,mix_dimension,status,current_data_fields,operationalization,priority,rationale,source
Group ride availability,Product / social usage,immediately_testable,group_ride,"Binary feature; test group_ride x platform_type and group_ride x high_unlock_fee x platform_type",high,"Strong current variation: 8413/14514 rows; official Lime docs describe group rides as unlocking up to five vehicles from one account, so it captures social/group-use affordance.",https://help.li.me/hc/en-us/articles/360035073193-Starting-a-Group-Ride
Subscription/pass availability,Price / loyalty,partly_testable_now,subscription_options,"Binary feature currently too common; test cautiously and prefer richer external pass coding: free unlock pass, minute bundle, monthly subscription, first-free-minutes",high,"Passes alter the effective unlock fee and marginal price. Current field has low variation (13749/14514 rows = 94.7% yes), so richer pass intensity coding would be better.",https://help.li.me/hc/en-us/articles/21280766615963-What-is-LimePass
Free-unlock / minute bundle pass,Price / loyalty,external_coding_needed,subscription_options; promo_types_clean,"Provider-city-date coding of pass availability and pass type: no unlock fee, minute bundle, monthly subscription, daily pass",very_high,"Directly aligns with our high-unlock-fee mechanism: passes remove or soften unlock fees. LimePass and Voi pass examples explicitly combine free unlocks with discounted/prepaid minutes.",https://www.southampton.gov.uk/travel-transport/getting-around-southampton/getting-around/bike-share-southampton/
Reservation availability / reservation duration,Place / convenience,external_coding_needed,none,"Provider-city-date coding: can reserve vehicle, reservation duration, reservation fee/deposit",high,"Reservation reduces search friction and uncertainty, a marketing-place convenience feature. Lime allows 10-minute reservations, extended to 30 minutes for LimePrime/LimePass users.",https://help.li.me/hc/en-gb/articles/360022886073-Reserving-a-Lime-vehicle
Parking-return friction,Place / usage friction,partly_testable_now,"Coverage; Exclusive_Coverage; min_parkgebuehr_offroad; mean_parkgebuehr_offroad; parking garage fees","Add provider/city parking friction where possible: mandatory stations, flex-zone restrictions, out-of-zone return fees, designated parking requirements",high,"Return friction can moderate platform/pricing effects: users may avoid services with harder trip-ending rules. nextbike pages discuss official stations/flex zones and reservation deposits; Lime docs mention designated parking in some locations.",https://www.kvv-nextbike.de/en/prices/
Complementary services / multimodal bundling,Product / integration,immediately_testable,complementary_services,"Binary feature; test complementary_services x platform_type and high_unlock_fee x complementary_services",medium,"Current field is sparse but meaningful (1224 rows). It captures whether providers offer additional service affordances beyond the core ride.",local_data
Vehicle-type breadth,Product assortment,immediately_testable,no_of_vehicle_types,"Use no_of_vehicle_types_z or dummies for 1/2/3; test x platform_type and x high_unlock_fee",medium,"Product assortment is a classic marketing-mix lever. Current data has 1, 2, or 3 vehicle types, though most rows are single-type.",local_data
Public-transport tariff integration / free minutes for subscribers,Price / partnership,external_or_event_coding_needed,promo_types_clean; platform types,"Code city/operator periods where PT subscribers receive free minutes or discounts",high,"Our promo diagnostics show subscriber-free-minutes is promising but localized. It should be expanded using city/operator campaign data if available.",local_data
App-store rating / digital service quality,Product / service quality,external_coding_needed,none,"Provider-country/month app ratings, review volume, app version shocks/outages",medium,"Platform membership is mediated through app interfaces; app quality could moderate conversion from platform exposure to utilisation.",https://apps.apple.com/gb/app/voi-scooter-get-magic-wheels/id1395921017
Referral / new-user credit campaigns,Promotion,external_coding_needed,none,"Provider-city-date coding for referral credits, new-user vouchers, app-store promo copy or campaign pages",medium,"Promotional credits are common in micromobility and directly reduce initial trial friction, but current panel only includes three highly localized promotion types.",local_data
Slow/no-ride zones and geofence strictness,Place / usage restriction,external_gis_needed,none,"GIS share of service area under slow/no-ride/mandatory-parking zones; provider-city-date if available",medium,"Geofence restrictions affect realised utility after discovery. Voi public guidance describes no-ride and slow-speed zones visible in app.",https://www.southampton.gov.uk/travel-transport/getting-around-southampton/getting-around/bike-share-southampton/
Service availability / vehicle density,Place / availability,already_used_but_extendable,"relative_fleet_size; Coverage; Exclusive_Coverage; trip_count_day","Extend with lagged availability, vehicle density per service area, stockout proxy, morning fleet presence",very_high,"Literature consistently treats availability/accessibility, built environment, weather, transit and temporal factors as key demand determinants.",https://www.sciencedirect.com/science/article/pii/S2210670719312387
Weather sensitivity interactions,Contextual moderator,already_used_but_extendable,"avg_weather_temperature_c; avg_weather_precipitation_mm; share_weather_is_wet","Test marketing-mix x bad-weather interactions by mode and platform type",medium,"E-scooter and bikeshare literature consistently finds weather affects demand and usage patterns; we already have weather fields.",https://www.tandfonline.com/doi/abs/10.1080/01441647.2023.2171500
Built environment / transit competition,Contextual moderator,already_used_but_extendable,"PT_availability; stations_inhabitant; population_density; ADFC; parking fees","Use as moderators for pricing/place features, not core marketing mix",medium,"Reviews identify weather, built environment, public transport, socio-demographics, temporal factors and safety as recurring determinants of shared-bike demand.",https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.848169/full
